jmpJobID,omlPartGroupID,jmpPartLongDescriptionText,jmpPartShortDescription,completeddate,sellvalue,kw,ls,econ,age,cost,labourhours,GP,GM
15536-01-02,RTP,"45 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle
SA : 2000 l/s
OA : 2000 l/s
RA : 2000 l/s
",45 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-25,29500.0,45.0,2000.0,1,1403,23837.449065699995,157.66,5662.550934300005,0.19
15536-02-01,RTP,"60 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle
SA : 2700 l/s
OA : 2700 l/s
RA : 2700 l/s
",60 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-18,33500.0,60.0,2700.0,1,1410,28425.49345,187.2,5074.506549999998,0.15
15536-03-01,RTP,"96 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle
SA : 4200 l/s
OA : 4200 l/s
RA : 4200 l/s
",96 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-23,43500.0,96.0,4200.0,1,1405,36694.1342324,203.15,6805.8657676,0.16
15531-02-01,RTP,"36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1585 l/s, OA : 375 l/s
75% Total efficiency counterflow plate enthalpy heat exchanger
Double-skinned 50mm PIR Sandwich Panel Cabinet, weatherproof
Corrosion Treated Coils
EC Plug Fans c/w proprietary air volume controllers
Functionality wired to a terminal strip for control by others
",36 kW Rooftop Packaged Unit                       ,2017-10-24,25000.0,36.0,1585.0,0,1404,19013.537445300004,128.22,5986.462554699996,0.24
15531-01-01,RTP,"82 kW Rooftop Packaged Unit with Heating and Cooling
SA : 3025 l/s, OA : 1225 l/s
75% Total efficiency counter flow plate enthalpy heat exchanger
Double-skinned 50mm PIR Sandwich Panel Cabinet, weatherproof
Corrosion Treated Coils
EC Plug Fans
Economy Cycle (can be operated as night purge)
VSD compressor
Functionality wired to a terminal strip for control by others",82 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-26,53800.0,82.0,3025.0,1,1402,35725.0110436,170.2,18074.988956399997,0.34
15523-01-01,PP,"4200 l/s PoolPac Unit with Dual Stage Heating and Cooling (96kWr)
SA : 4200 l/s
OA : 4200 l/s
RA : 4200 l/s
",4200 l/s PoolPac Unit                             ,2017-10-25,53450.0,96.0,4200.0,0,1403,27010.2845896,169.83,26439.7154104,0.49
15591-02-01,ERVCO,"2500 l/s Energy Recovery Ventilator Unit
SA : 2500 l/s
OA : 2500 l/s
RA : 2500 l/s",2500 l/s Energy Recovery Ventilator Unit          ,2017-10-30,21600.0,50.0,2500.0,0,1398,16231.9877683,89.3,5368.0122317000005,0.25
15553-01-01,RTP,"36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s
ECP Fans
VSD Compressor
Reheat Coil (Modulating)
Advanced Contrroler",36 kW Rooftop Packaged Unit                       ,2017-11-14,48000.0,36.0,1700.0,0,1383,28010.2360285,155.85,19989.7639715,0.42
15474-07-02,RTP,"PU-01C.3 and PU-01C.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2017-10-19,18826.0,20.0,800.0,0,1409,14616.255408100002,110.75,4209.744591899998,0.22
15547-01-01,RTP,"36 kW Rooftop Unit with Single Stage Heating and Cooling
SA : 850 l/s; OA : 850 l/s:
Counterflow Enthalpy Heat Exchanger
Variable Capacity Compressor
Modulating Reheat for Humidity Control
Bypass dampers for Pull-down Cycle and provision of CO2 control
EC Plug Fans
Special Construct Evaporator and Cabinet to suit Plant Room
Half Day Commissioning Assistance
Remote Condenser

Functionality Wired to Terminal Strip for Control by others",36 kW Rooftop Packaged Unit                       ,2017-10-27,54998.0,36.0,850.0,0,1401,21533.5756997,149.25,33464.4243003,0.61
15502-01-01,PP,"750 l/s PoolPac Unit with Single Stage Heating and Cooling.
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s",750 l/s PoolPac Unit                              ,2017-10-26,20650.0,15.0,750.0,0,1402,13260.516806700001,123.5,7389.483193299999,0.36
15474-07-01,RTP,"PU-01C.3 and PU-01C.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: Return air bypass
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2017-10-18,18826.0,20.0,800.0,0,1410,14827.1156049,114.25,3998.8843951,0.21
15474-09-01,RTP,"PU-01C.1 and PU-01C.2
36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included : Economy Cycle
SA : 1520 l/s
OA : 1520 l/s
RA : 1520 l/s

",36 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-24,25371.0,36.0,1520.0,1,1404,20485.8694761,130.7,4885.130523899999,0.19
15563-01-01,RTP,"ACU-2
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options Included : Economy Cycle
                           CO2 Monitoring
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s


",20 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-27,23632.0,20.0,1000.0,1,1401,16383.643015999998,150.58,7248.356984000002,0.31
15591-01-01,ERVCO,"2000 l/s Energy Recovery Ventilator Unit
SA : 2000 l/s
OA : 2000 l/s
RA : 2000 l/s",2000 l/s Energy Recovery Ventilator Unit          ,2017-10-30,21171.0,40.0,2000.0,0,1398,15246.693931400001,81.05,5924.306068599999,0.28
15508-01-01,ERVCO,"ERV-01
5000 l/s Energy Recovery Ventilator Unit
Included options : Economy Cycle Mode, CO2 Mode, HHW Coil, CHW Coil and EC Plug Fans
",5000 l/s Energy Recovery Ventilator Unit With EC  ,2017-10-18,38665.0,100.0,5000.0,1,1410,24398.768545,146.08,14266.231455000001,0.37
15474-09-02,RTP,"PU-01C.1 and PU-01C.2
36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included : Economy Cycle
SA : 1520 l/s
OA : 1520 l/s
RA : 1520 l/s

",36 kW Rooftop Packaged Unit With Economy Cycle    ,2017-10-30,25371.0,36.0,1520.0,1,1398,22538.9730923,142.72,2832.026907700001,0.11
15476-02-02,RTP,"20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s",20kW Rooftop Packaged Unit                        ,2017-11-16,20500.0,20.0,1000.0,0,1381,18724.867844200002,124.2,1775.1321557999981,0.09
15476-01-01,RTP,"16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s
",16 kW Rooftop Packaged Unit                       ,2017-11-15,18000.0,16.0,750.0,0,1382,17514.8304753,123.8,485.1695246999989,0.03
15476-01-03,RTP,"16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s
",16 kW Rooftop Packaged Unit                       ,2017-11-14,18000.0,16.0,750.0,0,1383,15178.0708123,106.3,2821.9291876999996,0.16
15476-02-01,RTP,"20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s",20kW Rooftop Packaged Unit                        ,2017-11-15,20500.0,20.0,1000.0,0,1382,18312.6064682,114.2,2187.3935318000003,0.11
15476-01-02,RTP,"16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s
",16 kW Rooftop Packaged Unit                       ,2017-11-15,18000.0,16.0,750.0,0,1382,17332.7224043,117.3,667.2775957000013,0.04
15504-01-01,ERVCO,"AHU-5.5
7000 l/s Energy Recovery Ventilator Unit - Tall version
Options included:
Chilled water coil
Hot water coil
SS drain tray
Service lights in fan section.                          
EC Plug fans
                          
SA : 6150 l/s
OA : 6150 l/s
RA : 3900 l/s

                ",Energy Recovery Ventilator 7000 L/s               ,2017-11-09,50236.0,140.0,7000.0,0,1388,26500.576413400002,150.25,23735.423586599998,0.47
15535-01-01,RTP,"60 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2500 l/s, OA : 1000 l/s
75% Total efficiency counterflow plate enthalpy heat exchanger
Double-skinned 50mm PIR Sandwich Panel Cabinet
Corrosion Treated Coils
EC Plug Fans
Economy Cycle (can be operated as night purge)
Bypass Dampers - Can be utilised for pull-down cycle or CO2 control
Functionality wired to a terminal strip for control by others
Manufacturers Commissioning Assistance

",60 kW Rooftop Packaged Unit With Economy Cycle    ,2017-11-15,40900.0,60.0,2500.0,1,1382,26572.3521831,141.0,14327.6478169,0.35
15602-01-01,DEHUM,"700 L/s DX Preconditioner
Complete with:
-	80% efficient sensible-only heat exchanger
-	Chilled Water Cooling Coil - Corrosion Resistant
-	Stainless Steel drain trays
-	EC plug fans
-	Supply air volume controller
-	Factory controls package with Low Level Interface to BMS
-	Deep bed filters
",ACDHUM2-W                                         ,2017-11-16,25450.0,14.0,700.0,1,1381,14915.743362099998,110.58,10534.256637900002,0.41
15674-01-01,PP,"1400 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1400 l/s
OA : 1400 l/s
RA : 1400 l/s
",1400 l/s PoolPac Unit                             ,2017-11-14,28810.0,28.0,1400.0,0,1383,15296.6272353,121.5,13513.3727647,0.47
15607-01-01,DEHUM,"2800 L/s DX Preconditioner
Complete with:
80% efficient sensible-only heat exchanger
VSD compressor
Stainless Steel drain trays
Corrosion treated coils
EC plug fans
Supply air volume controller
Factory controls package 
Deep bed filters
Half day commissioning assistance including travel",ACDHUM4-D                                         ,2017-11-28,70825.0,56.0,2800.0,1,1369,45307.9025743,242.83,25517.097425699998,0.36
15632-01-01,PP,"4200 l/s PoolPac Unit with Dual Stage 89kWr Heating and Cooling
Options included: EC plug fans
                          Corrosion Resistant Treatment
                          Desuperheater
                          Hot Gas Bypass
SA : 4200 l/s
OA : 4200 l/s
RA : 4200 l/s
",4200 l/s PoolPac Unit                             ,2017-11-30,79845.0,89.0,4200.0,0,1367,32702.174289500006,190.08,47142.825710499994,0.59
15590-01-01,PP,"ERV-06.01 (Spa/Meditation)
3600 l/s PoolPac Unit with Dual Stage Heating and Cooling, EC Plug Fans, CPG Constant Fan Speed Controllers, PIR Cool Room Panel (R=2.63), Full Tropic Proof Corrosion Treatment 

SA : 3525 l/s @ 380Pa ESP
OA : 3525 l/s
RA : 3525 l/s @ 380Pa ESP
Cond Makeup: 3000L/s",3600 l/s PoolPac Unit                             ,2017-12-04,50518.0,72.0,3600.0,0,1363,30536.876046700003,160.0,19981.123953299997,0.4
15590-02-01,PP,"ERV-06.02 (Pool/Cabana Area)
5000 l/s PoolPac Unit with Dual Stage Heating and Cooling, EC Plug Fans, CPG Constant Fan Speed Controllers, PIR Cool Room Panel (R=2.63), Full Tropic Proof Corrosion Treatment 

SA : 4692 l/s @ 380Pa ESP
OA : 4692 l/s
RA : 4692 l/s @ 380Pa ESP
Cond Makeup: 3000L/s",5000 l/s PoolPac Unit                             ,2017-12-05,63890.0,100.0,5000.0,0,1362,36774.11708430001,188.43,27115.882915699993,0.42
15658-01-01,RTP,"ERV-LG-01
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling (Part A: Refrigeration & Electrical Section)
Options included: Sensible heat exchanger with drain tray
                          Split Construction
SA : 920 l/s
OA : 920 l/s
RA : 920 l/s
",20kW Rooftop Packaged Unit                        ,2017-12-05,19177.0,20.0,920.0,0,1362,11957.2207572,137.0,7219.779242799999,0.38
15700-01-01,RTP,"36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s",36 kW Rooftop Packaged Unit                       ,2017-12-12,28500.0,36.0,1700.0,0,1355,14493.463261500001,114.25,14006.536738499999,0.49
15639-01-01,RTP,"52 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling with Advanced Control system for HLI.
Options : Economy Cycle
              EC Plug fans
SA : 2300 l/s
OA : 2300 l/s
RA : 2300 l/s
",52 kW Rooftop Packaged Unit With Economy Cycle    ,2017-12-08,42501.0,52.0,2300.0,1,1359,28822.732337700003,175.16,13678.267662299997,0.32
15698-01-01,RTP,"EAU-1
27 kW Heat Recovery Rooftop Packaged Unit with Single Stage Heating and Cooling c/w EC Plug Fans and CPG Fan Speed Controllers
SA : 1230 l/s
OA : 1230 l/s
RA : 1230 l/s
",27 kW Rooftop Packaged Unit                       ,2017-12-12,26330.0,27.0,1230.0,0,1355,17218.440390599997,144.75,9111.559609400003,0.35
15698-02-01,RTP,"EAU-2
11 kW Heat Recovery Rooftop Packaged Unit with Single Stage Heating and Cooling c/w EC Plug Fans and CPG Fan Speed Controllers
SA : 460 l/s
OA : 460 l/s
RA : 460 l/s",11 kW Rooftop Packaged Unit                       ,2017-12-13,20200.0,11.0,460.0,0,1354,11714.702876999998,86.34,8485.297123000002,0.42
15620-01-01,RTP,"36 kW Rooftop Packaged Unit
SA : 1700 l/s, OA : 1700 l/s
- 75% Total efficiency Enthalpy counterflow plate heat Exchanger
- Double-skinned 50mm PIR Sandwich Panel Cabinet
- Corrosion Treated Coils
- EC Plug Fans c/w proprietary air volume controllers
- Bypass Dampers - Can be utilised for pull-down cycle or CO2 control
- Functionality wired to a terminal strip for control by others
- Half day commissioning assistance including travel
",36 kW Rooftop Packaged Unit                       ,2017-12-11,26760.0,36.0,1700.0,0,1356,18772.1858341,131.5,7987.814165899999,0.3
15691-01-01,PP,"PAC-B.01
1200 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1200 l/s
OA : 1200 l/s
RA : 1200 l/s
",1200 l/s PoolPac Unit                             ,2017-12-08,28714.0,24.0,1200.0,0,1359,14609.793170500001,99.75,14104.206829499999,0.49
15600-01-01,RTP,"ERV-1
70 kW Rooftop Packaged Unit with Reverse Cycle Variable Speed Compressor
- Forward Curved Centrifugal Fans c/w VSD
- Counterflow Enthalpy Heat Exchanger (75% Nominal efficiency)
- Stainless Steel Drain tray and fixings to suit coastal environment
- Half Day Commissioning Assistance including Travel
Option(s) : Economy Cycle and Return Air Bypass
SA : 2700 l/s; OA : 2700 l/s
",70 kW Rooftop Packaged Unit With Economy Cycle    ,2017-12-18,49800.0,70.0,2700.0,1,1349,26500.257480099997,182.91,23299.742519900003,0.47
15701-01-01,RTP,"27 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: Condenser Upgrade
                          EC plug fans
SA : 1100 l/s
OA : 1100 l/s
RA : 1100 l/s
",27 kW Rooftop Packaged Unit                       ,2017-12-12,32130.0,27.0,1100.0,0,1355,19282.7954604,119.08,12847.2045396,0.4
15707-01-01,PP,"ERHP-1
2800 l/s PoolPac Unit with Dual Stage Heating and Cooling, EC Plug Fans, CPG Fan Speed Controllers, RABP (up to 50%), Full Tropic Proof Anti Corrosive Treatment and Factory Tested and Commissioned Stand Alone Advanced Control System.
SA : 2440 l/s @ 350Pa ESP
OA : 2800 l/s
RA : 2800 l/s
",2800 l/s PoolPac Unit                             ,2017-12-22,50400.0,56.0,2800.0,0,1345,28455.483870599997,173.25,21944.516129400003,0.44
15699-01-01,RTP,"36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included : Economy Cycle
SA : 1700 l/s
OA : 1700 l/s
RA : 1700 l/s
",36 kW Rooftop Packaged Unit With Economy Cycle    ,2017-12-12,36460.0,36.0,1700.0,1,1355,17691.153961199998,135.58,18768.846038800002,0.51
15713-01-01,RTP,"ERV-G1
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: EC Plug fans
                          50mm Acoustic Insulation
SA : 1650 l/s
OA : 1650 l/s
RA : 1520 l/s
",32 kW Rooftop Packaged Unit                       ,2017-12-19,27040.0,20.0,1650.0,0,1348,16206.327801699998,106.75,10833.672198300002,0.4
15713-02-01,RTP,"ERV-G2
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: EC Plug fans
                          50mm Acoustic Insulation
                          Opposite Handing
SA : 1650 l/s
OA : 1650 l/s
RA : 1520 l/s
",32 kW Rooftop Packaged Unit                       ,2017-12-19,28040.0,20.0,1650.0,0,1348,16885.4508252,99.25,11154.549174799999,0.4
15772-01-01,RTP,"36 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Supply Air: 1700 l/s @ 250pa ESP
Outside air: 510 to 850 l/s
Return air Bypass Damper/motor
Outside side air will be modulated with CO2 sensor.
Damper wiring back to the terminal block.
Fault output terminal",36 kW Rooftop Packaged Unit                       ,2018-01-09,24062.0,36.0,1700.0,0,1327,18266.405528299998,148.75,5795.594471700002,0.24
15719-01-01,PP,"ERV-01
2300 l/s PoolPac Unit with Dual Stage Heating and Cooling
Option included: Inverted Airflow
SA : 2270 l/s
OA : 2270 l/s
RA : 2270 l/s
",2300 l/s PoolPac Unit                             ,2017-12-19,40365.0,46.0,2300.0,0,1348,23626.240023,151.5,16738.759977,0.41
15773-01-01,PP,"2000 l/s PoolPac Unit with Dual Stage Heating and Cooling c/w controls
SA : 2000 l/s
OA : 2000 l/s
RA : 2100 l/s
",2000 l/s PoolPac Unit                             ,2018-01-29,47950.0,42.0,2100.0,0,1307,33215.2618145,237.5,14734.738185499999,0.31
15689-01-01,PP,"1200 l/s PoolPac Unit with Single Stage Heating and Cooling
SA : 1200 l/s, OA : 1200 l/s, RA : 1200 l/s
- 80% efficient sensible-only heat exchanger
- Double-skinned 50mm PIR Sandwich Panel Cabinet
- Corrosion Treated Coils and Cabinet for pool environment
- Corrosion resistant EC Plug Fans c/w proprietary air volume controllers
- Bypass Dampers - Can be utilised for pull-down cycle or CO2 control
- VSD compressors
- Hot Gas Reheat Coils - available in staged or modulating control
- Power coated drain tray
- Functionality wired to a terminal strip for control by others
- Half day Manufacturers Commissioning Assistance

FIS Gold Coast",1200 l/s PoolPac Unit                             ,2018-02-01,52400.0,24.0,1200.0,0,1304,32936.5928204,194.75,19463.4071796,0.37
15734-01-01,RTP,"96 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 4200 l/s
OA : 4200 l/s
RA : 4200 l/s
",96 kW Rooftop Packaged Unit                       ,2018-02-16,64200.0,96.0,4200.0,0,1289,45232.310313,251.0,18967.689687,0.3
15377-01-01,DEHUM,"1700 L/s DX Dehumidification Unit
Complete with:
-	80% efficient sensible-only heat exchanger
-	Dual VSD compressors
-       Hot gas reheat coil for humidity control
-	Packaged Condenser
-	Stainless drain tray
-	Corrosion treated coils
-	EC plug fans
-	Supply air volume controller
-	Factory controls package incl. cooling, dehumidification, heating control, necessary field devices and wall interface,  time scheduling
-	Deep bed filters
-	Half day commissioning assistance including travel
",ACDHUM3-D                                         ,2018-02-12,76500.0,34.0,1700.0,0,1293,44570.33600319999,276.25,31929.66399680001,0.42
15847-01-01,RTP,"HRU-1 & 2 (Offices)
45 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle, Return Air Bypass, EC Plug Fans with CPG Controllers and Downgraded Compressors (2 x 11kw)
SA : 2000 l/s
OA : 2000 l/s
EA : 2000 l/s
",45 kW Rooftop Packaged Unit With Economy Cycle    ,2018-03-02,49058.0,45.0,2000.0,1,1275,30500.6425062,179.15,18557.3574938,0.38
15546-01-01,PP,"3200 l/s PoolPac Unit with Dual Stage Heating and Cooling
SA : 3200 l/s, OA : 3200 l/s, RA : 3200 l/s
- 80% efficient sensible only heat Exchanger
- Double-skinned 50mm PIR Sandwich Panel Cabinet
- Corrosion resistant copper tube- aluminium finned coil
- EC Plug Fans c/w proprietary air volume controllers
- Stainless steel drain tray
- Half day comissioning assistance including travel

",3200 l/s PoolPac Unit                             ,2018-02-08,49500.0,64.0,3200.0,0,1297,28440.193243300004,160.75,21059.806756699996,0.43
15751-01-01,PP,"3600 l/s PoolPac Unit with Dual Stage Heating and Cooling
SA : 3600 l/s
OA : 3600 l/s
RA : 3600 l/s
",3600 l/s PoolPac Unit                             ,2018-02-12,53000.0,72.0,3600.0,0,1293,30858.5768653,184.75,22141.4231347,0.42
15740-01-01,RTP,"PAC-L42.2 and PAC-L42.3
16 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 750 l/s; OA : 750 l/s; RA : 750 l/s
Option(s) : Economy Cycle incl Bypass Dampers and actuators
EC Plug Fans - c/w HLI Cards for Modbus communication
Stainless Steel Condensate Trays

Functionality is wired to a terminal strip for control by others",16 kW Rooftop Packaged Unit With Economy Cycle    ,2018-02-13,24940.0,16.0,750.0,1,1292,13817.1136386,111.75,11122.8863614,0.45
15747-01-01,PP,"750 l/s PoolPac Unit with Single Stage Heating and Cooling.
SA : 500 l/s
OA : 500 l/s
RA : 500 l/s",750 l/s PoolPac Unit                              ,2018-02-09,20754.0,15.0,750.0,0,1296,14368.676976899998,130.25,6385.323023100002,0.31
15596-02-01,RTP,"HRU-1 & 2 (Offices)
45 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle, Return Air Bypass, EC Plug Fans with CPG Controllers and Downgraded Compressors (2 x 11kw)
SA : 2000 l/s
OA : 2000 l/s
EA : 2000 l/s
",45 kW Rooftop Packaged Unit With Economy Cycle    ,2018-02-22,31908.0,45.0,2000.0,1,1283,24855.5773368,171.12,7052.422663199999,0.22
15596-01-01,RTP,"HRU-1 (Mall)
70 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle, Return Air Bypass,  EC Plug Fans with CPG Controllers and Downgraded Compressors (2 x 16kw)
SA : 4750 l/s
OA : 2240 l/s
EA : 2240 l/s
",70 kW Rooftop Packaged Unit With Economy Cycle    ,2018-02-22,37093.0,70.0,4750.0,1,1283,34516.648013900005,197.36,2576.351986099995,0.07
15596-02-02,RTP,"HRU-1 & 2 (Offices)
45 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle, Return Air Bypass, EC Plug Fans with CPG Controllers and Downgraded Compressors (2 x 11kw)
SA : 2000 l/s
OA : 2000 l/s
EA : 2000 l/s
",45 kW Rooftop Packaged Unit With Economy Cycle    ,2018-03-01,31908.0,45.0,2000.0,1,1276,22612.2851068,135.02,9295.714893199998,0.29
15781-01-01,RTP,"60 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
SA : 2700 l/s
OA : 2700 l/s
RA : 2700 l/s
",60 kW Rooftop Packaged Unit                       ,2018-02-28,48599.0,60.0,2700.0,0,1277,22161.289037199997,122.5,26437.710962800003,0.54
15733-01-01,RTP,"60 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle
ECP Fans
BLDC Compressors
SA : 2700 l/s
OA : 2700 l/s
RA : 2700 l/s
",60 kW Rooftop Packaged Unit With Economy Cycle    ,2018-02-23,48300.0,60.0,2700.0,1,1282,35152.0718923,211.75,13147.928107699998,0.27
15706-03-01,RTP,"CU CR1
32 kW Single Stage Reverse Cycle Remote DX Condenser c/w EC Axial Fans and Danfoss Scroll Compressor
&
CU SR1
67 kW Dual Stage Reverse Cycle Remote DX Condenser c/w EC Axial Fans and Danfoss Scroll Compressors",Remote DX Condenser 32 kW                         ,2018-03-01,59912.0,67.0,3350.0,0,1276,37260.788891100005,184.75,22651.211108899995,0.38
15706-02-01,ERVCO,"AC CR.1
2000 l/s Energy Recovery Ventilator Unit
Option(s) : Economy Cycle, 32kW DX Coil, EC Plug Fans
SA : 1600 l/s @ 350Pa ESP
OA : 1125 l/s
RA : 1600 l/s @ 350Pa ESP
EA : 1125 l/s",2000 l/s Energy Recovery Ventilator Unit With EC  ,2018-02-27,21790.0,32.0,2000.0,1,1278,17455.1545324,128.63,4334.8454676,0.2
15706-01-01,ERVCO,"AC SR.1
3000 l/s Energy Recovery Ventilator Unit
Option(s) : Economy Cycle, 67kW DX Coil, EC Plug Fans
SA : 3600 l/s @ 350Pa ESP
OA : 2250 l/s
RA : 3600 l/s @ 350Pa ESP
EA : 2250 l/s",3000 l/s Energy Recovery Ventilator Unit With EC  ,2018-03-01,25560.0,67.0,3600.0,1,1276,24660.1768128,153.37,899.8231871999997,0.04
15794-01-01,RTP,"PAC-1
52 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Option(s) : Economy Cycle, EC Plug Fans, CPG Fans Speed Controllers and 80% Effective Sensible Only Counterflow Heat Exchanger.
SA : 2300 l/s
OA : 2300 l/s
RA : 2300 l/s
",52 kW Rooftop Packaged Unit With Economy Cycle    ,2018-03-05,43501.0,52.0,2300.0,1,1272,31205.991087600003,189.25,12295.008912399997,0.28
15474-08-01,RTP,"PU-01A.3 and PU-01A.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: Return air bypass
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2018-03-16,18826.0,20.0,800.0,0,1261,16080.47,1.0,2745.5300000000007,0.15
15474-08-02,RTP,"PU-01A.3 and PU-01A.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2018-03-16,18826.0,20.0,800.0,0,1261,16398.31,6.67,2427.6899999999987,0.13
15474-03-02,RTP,"PU-01D.3 and PU-01D.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2018-03-16,18826.0,20.0,800.0,0,1261,16055.83,4.1,2770.17,0.15
15474-03-01,RTP,"PU-01D.3 and PU-01D.4
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: Return air bypass
SA : 800 l/s
OA : 800 l/s
RA : 800 l/s
",20kW Rooftop Packaged Unit                        ,2018-03-16,18826.0,20.0,800.0,0,1261,16566.72,10.43,2259.279999999999,0.12
15680-01-01,PP,"750 l/s PoolPac Unit with VSD Heating and Cooling, ECP, RABP and AC.
SA : 750 l/s
OA : 750 l/s
RA : 750 l/s",750 l/s PoolPac Unit                              ,2018-03-16,30913.0,15.0,750.0,0,1261,15330.5939097,63.25,15582.4060903,0.5
15894-02-01,RTP,"AC-G-26
20 kW Rooftop Packaged Unit with Single Stage Heating and Cooling
Options included: CO2 Control
                          Return Air Bypass
                          HLI Modbus TCP/IP
                          Time Scheduling at HMI
                          Integrated Fan VSDs
SA : 1000 l/s
OA : 1000 l/s
RA : 1000 l/s
",20kW Rooftop Packaged Unit                        ,2018-03-13,28620.0,20.0,1000.0,0,1264,11499.216290699998,58.25,17120.7837093,0.6
15918-01-01,RTP,"B1-G & B2-G Dining
82 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Options included : Economy Cycle
                           EC plug fans
                           Sensible Heat exchanger 
SA : 3150 - 3700 l/s
OA : 3150 - 3700 l/s
RA : 3150 - 3700 l/s
",82 kW Rooftop Packaged Unit With Economy Cycle    ,2018-03-26,47700.0,82.0,3700.0,1,1251,26373.626254200008,43.0,21326.373745799992,0.45
15918-01-02,RTP,"B1-G & B2-G Dining
82 kW Rooftop Packaged Unit with Dual Stage Heating and Cooling
Options included : Economy Cycle
                           EC plug fans
                           Sensible Heat exchanger 
SA : 3150 - 3700 l/s
OA : 3150 - 3700 l/s
RA : 3150 - 3700 l/s
",82 kW Rooftop Packaged Unit With Economy Cycle    ,2018-03-26,47700.0,82.0,3700.0,1,1251,26089.3292372,53.5,21610.6707628,0.45
15773-02-01,RTP,"32 kW Rooftop Packaged Unit with Single Stage Heating and Cooling c/w controls and CO2 Sensors
SA : 1400 l/s
OA : 1400 l/s
RA : 1400 l/s
",32 kW Rooftop Packaged Unit                       ,2018-04-05,40402.0,32.0,1400.0,0,1241,26247.4379259,105.5,14154.562074099998,0.35
